p2518	t1735
p13211	t2263
p13132	t778
p7082	t104
p3355	a10900
p1157	t3526
p7902	t252
p46	t392
p164	t53
p1985	t683
p660	c1
p13607	t5086
p12924	t1925
p12349	t3979
p11710	t2404
p8900	t573
p1799	c2
p9174	t1135
p2331	t87
p7214	t382
p7219	t3713
p9357	c14
p8666	t674
p6351	t626
p9717	t4
p10459	t49
p9036	t6588
p183	t79
p4974	t674
p2532	t108
p1470	t3964
p1515	t373
p9826	a10682
p717	t297
p9018	t338
p211	t1672
p9528	t90
p3620	t484
p7840	c11
p6924	a2214
p4974	c8
p5538	c9
p4033	t142
p199	c1
p12718	t3658
p2491	t3782
p4731	t1811
p6240	t119
p4163	t5015
p13862	t285
p9550	a6057
p3484	t10
p10906	t43
p12612	t396
p4636	t3004
p11002	t6391
p868	a2790
p8176	t106
p11097	t238
p10892	t148
p2746	t43
p8985	a591
p11105	t189
p13271	t426
p367	t33
p2656	t386
p5003	t3591
p3672	a9756
p13915	t503
p4858	c8
p1977	t53
p2761	t142
p3018	t601
p10075	t4
p9628	a417
p11251	a3084
p13616	a10613
p9621	a5516
p8019	a8113
p13051	t430
p12452	a4397
p11192	t629
p6765	a1558
p13957	a12071
p10295	t19
p12125	a9258
p2083	t115
p3686	t1388
p4680	c8
p10107	a1613
p14226	a5876
p8652	t674
p11821	t539
p7873	t1400
p13381	t149
p4722	c8
p3266	t1034
p891	t12
p9247	t607
p11216	c17
p10883	t5651
p7388	a12405
p3692	t211
p13188	t674
p10733	t108
p8807	t217
p1239	t36
p5998	a2602
p10144	t88
p11279	t2055
p12948	t674
p599	c1
p8968	t1196
p5601	a3151
p13469	t19
p2811	c5
p8601	t547
p798	t115
p9645	a12400
p3848	a5796
p2750	t454
p5016	a6191
p14237	t103
p4679	c8
p9064	t413
p1393	a3513
p8480	t128
p4647	t417
p1795	t787
p1018	a1917
p14144	t53
p12782	t43
p8558	t33
p8317	a12831
p5826	t1835
p12320	t116
p10176	t2530
p14185	t79
p13951	t486
p10502	t4
p9736	t60
p2298	t19
p1575	t19
p639	t3052
p3321	t369
p2648	a5905
p5850	c10
p6781	t977
p12596	a4739
p351	t233
p2580	a8389
p12351	a11354
p11917	t7666
p9805	t738
p3375	a10976
p751	t182
p4664	t931
p8304	a5576
p6493	c10
p9732	t1890
p12236	c17
p3740	t6593
p7290	t47
p11318	a9760
p1889	t87
p4538	a7120
p2655	a5684
p4644	a11505
p376	a1887
p1074	a243
p14165	t53
p2297	t1124
p1274	t19
p7424	a1594
p14089	a1854
p13362	t19
p9083	t495
p9795	t270
p11239	t5048
p3850	t53
p1939	a4655
p7657	t104
p11473	t273
p1425	t392
p14362	t2826
p13284	t966
p12977	t79
p6131	t115
p3185	a736
p10250	t1904
p4637	a7716
p10717	t218
p5151	t102
p12097	t155
p3171	a10196
p8130	a2493
p8366	c11
p2638	t36
p3982	t311
p11219	t426
p10986	a9873
p11062	a1372
p13886	t8522
p7023	a754
p2614	t43
p5492	t1103
p7158	t6284
p14146	t33
p3461	c7
p9023	a5450
p13929	a6377
p1893	c2
p11975	t425
p6285	t1819
p2016	t1
p9673	t674
p5790	t10
p13445	a4429
p79	a1215
p12287	t426
p13955	t469
p9741	a4778
p5481	a1295
p12775	t460
p9901	t221
p6054	t2672
p5293	t194
p3832	a6411
p4429	t1533
p4128	c7
p7855	t417
p10910	t43
p1999	t102
p743	t6
p589	t1537
p4772	t60
p2046	a6847
p7693	a2403
p12389	t8107
p12544	t43
p124	t1356
p12669	c18
p1377	t1153
p9354	t426
p14050	t481
p338	a1812
p7712	t211
p10367	t949
p7957	t426
p8010	t338
p514	t1
p4014	t7676
p2048	t475
p12683	t2483
p9882	t896
p11919	t426
p5236	t12
p8349	t4449
p6236	t4
p1689	t221
p8275	t417
p723	t704
p6071	t43
p2372	t43
p12126	a10886
p10564	t527
p4977	t496
p7370	a5376
p10228	a13375
p8512	a12978
p12654	t1173
p1719	t991
p12573	t1647
p4737	t60
p4872	a1760
p13628	t221
p10462	a4153
p13639	a5845
p4009	t238
p13812	a4645
p6099	t5841
p11077	t896
p9475	t3411
p13291	t2379
p9635	t60
p11833	c17
p9369	t2338
p6743	t197
p5019	t78
p8212	a392
p1249	t9
p2528	t925
p11245	t434
p1802	t52
p6212	t1466
p9679	c15
p12265	c17
p841	t474
p11650	a3227
p7759	t821
p13330	t116
p4935	t441
p10785	t581
p12243	c17
p11847	t462
p3574	t19
p1636	t646
p8394	t495
p9293	t7131
p2982	t484
p581	t2975
p810	a1590
p787	t115
p11368	t79
p9494	t106
p7546	a95
p2442	t38
p420	t60
p4727	t103
p12001	t4
p3305	c7
p7552	t79
p826	a1533
p6216	t820
p919	a2121
p5098	a8991
p2078	t399
p8188	t914
p5981	a4096
p1885	t115
p12233	a4938
p6560	c10
p2035	a8067
p11404	c17
p4481	t462
p8572	a5908
p713	t3135
p6879	t2629
p6354	t4181
p13441	t950
p2654	a8566
p10340	a8444
p3352	a10952
p4910	a4795
p14178	t19
p3341	t426
p12061	t345
p5626	t913
p1745	t1977
p9812	t59
p908	t214
p13053	t674
p7092	a2961
p4194	a9967
p8643	a5594
p3068	t19
p7525	t2779
p8316	t4743
p5865	t1983
p9665	t1795
p2266	t88
p8001	a7982
p13110	t1684
p5602	t481
p1285	t123
p13838	t2055
p1040	t57
p13135	a6415
p7274	t9
p7794	a8148
p1651	t1
p3162	a1282
p5311	c9
p11431	t7810
p11640	t57
p4389	a78
p7202	t19
p12613	t87
p9788	t182
p13581	t43
p1105	a1709
p13079	a7530
p6991	t60
p10968	t78
p9762	t1832
p13205	a297
p6568	t4202
p6664	t423
p7288	a6373
p692	a2358
p930	c1
p1971	t60
p11659	a7103
p11385	a9342
p4791	t890
p11388	a6418
p8778	t212
p5314	t5279
p2460	t1588
p12059	t2307
p4876	a3914
p12967	t224
p2350	t19
p7034	t6230
p506	a1151
p6972	t116
p2470	a101
p523	c1
p10630	t221
p4854	t446
p1640	t43
p8968	t88
p10881	t78
p2397	c3
p5148	a6635
p4065	t1194
p13606	t115
p4070	t1
p6789	a12296
p3934	a7165
p4391	a8244
p12327	a13992
p11543	t1353
p9673	t19
p2680	t1
p4994	c8
p2435	c3
p1256	a1319
p5974	c10
p14096	c19
p11625	a12052
p11370	c17
p6573	t21
p1530	a3676
p3054	a3101
p7594	t4
p6234	t19
p8382	t212
p3668	t786
p10920	c16
p13028	a6449
p7990	a7931
p13162	t535
p5092	a4434
p9135	t345
p3974	a7720
p7808	t15
p7247	t638
p13656	t2223
p491	t520
p439	t36
p7876	a11105
p6622	c10
p11980	c17
p3893	a410
p1987	c2
p5884	c10
p7444	t1221
p10614	t88
p6378	a2997
p10289	a3989
p363	t33
p10971	t431
p11047	t432
p10825	t238
p8720	a5117
p14071	a3468
p3781	t338
p3684	t535
p4464	a1759
p6654	t320
p4435	t7074
p9763	t426
p994	a2963
p11887	a6077
p10151	c16
p10267	a2416
p8808	t1251
p7301	t536
p9057	t102
p5920	t37
p113	a1302
p2980	a1235
p5095	a11690
p5048	t820
p4462	t1269
p7119	t1205
p13821	a5697
p6065	a1243
p10992	a5123
p8358	a9242
p11476	t49
p36	a1053
p11469	t591
p7152	t4
p6413	t925
p12256	a7002
p2569	a4024
p9290	c14
p13372	c18
p11027	t330
p409	c1
p12454	t33
p108	a1294
p12521	t536
p7598	t78
p3062	a952
p2124	t573
p801	a2682
p7874	t6561
p4032	t1032
p6614	t106
p11647	a12530
p1709	t87
p8986	c13
p2865	t1317
p10287	t79
p8700	a7525
p8882	t6974
p6570	t60
p8269	t426
p13107	t320
p6255	t5379
p438	a2016
p9788	c15
p1510	t1251
p10043	a6099
p5003	t60
p3494	t579
p8175	c11
p2698	t527
p6681	t347
p197	t108
p6663	c10
p2526	t33
p12704	a6796
p13403	t53
p12497	t6139
p11731	t2048
p2192	a4244
p8271	a6549
p8406	t43
p13143	c18
p2497	a8659
p12646	t60
p8388	t43
p14186	t24
p208	t1657
p6046	t106
p10445	t827
p3884	t517
p1523	t1258
p9249	a1751
p4727	t335
p2687	t411
p6950	t1
p8841	c13
p7903	t629
p2744	c4
p11793	t426
p12995	t8288
p10190	a3066
p3270	t754
p12321	t390
p3891	c7
p1493	a3624
p7304	a3391
p6156	t4
p13261	t323
p2875	t12
p12219	t4109
p2203	c2
p7626	t1307
p8712	t33
p2641	c4
p12997	a7004
p2516	t2413
p4118	t445
p1360	t2958
p8189	t1508
p5894	t939
p10699	t2090
p4115	t1405
p6519	a12247
p12871	t1525
p5728	a520
p12241	t1811
p4100	a8793
p12428	t43
p4592	t768
p6794	t81
p3099	t79
p4272	c7
p2756	t1739
p13686	t132
p2037	c2
p8756	t182
p1201	a3209
p14014	a6397
p4804	t6055
p14312	t439
p6240	t19
p5209	t1774
p7303	t182
p5873	a10672
p2749	t263
p6086	t5832
p4050	t3137
p1246	t1566
p3878	t477
p4639	t128
p1354	t43
p2511	c3
p6813	t9
p9891	a8531
p7807	t5493
p11267	t887
p11447	t235
p13429	a6546
p12382	t3714
p10445	t36
p3111	c6
p12082	a13935
p6633	t346
p6958	t9
p3307	t60
p2540	t401
p2626	t4604
p8699	t60
p3001	c6
p320	t587
p2182	t19
p5005	t3494
p8842	t19
p11091	a4711
p9972	c16
p1710	c2
p13416	t1419
p7743	t1353
p14089	t221
p3849	t426
p1110	a2263
p13203	t580
p14091	t202
p1103	t1247
p13942	t60
p11418	a10298
p12873	a880
p7932	t180
p10835	t1010
p4041	t4
p8964	t36
p9565	t912
p608	a1313
p1215	t60
p1814	t43
p8466	t60
p11688	c17
p3171	t617
p13278	t600
p3779	t179
p8515	c12
p810	t1012
p3166	t2
p2055	t36
p11530	t520
p14242	a6055
p6113	t11
p6594	a5866
p7526	t2595
p9434	a5895
p11977	t2926
p12983	a10648
p5364	t1917
p4738	a3012
p3202	t432
p9480	a7720
p12428	t602
p11584	t19
p2278	t36
p6129	t261
p13319	a6091
p186	t1076
p1287	t3791
p10184	a4141
p14205	t176
p12916	t316
p13297	a7223
p2528	t692
p2962	a407
p3166	t5070
p7885	c11
p594	t759
p3258	t1
p7751	c11
p5147	t417
p1324	t3452
p8951	a13089
p5809	t1284
p11500	t5511
p8912	a6801
p8170	c11
p11129	a6795
p8174	t327
p3869	t345
p13820	t971
p7839	t596
p4774	t212
p1740	t221
p6710	t2853
p5870	t912
p11899	t330
p8274	a794
p5721	t2191
p9113	t503
p6819	t3436
p1165	t263
p10072	t2
p10149	a1494
p8751	a465
p1611	t511
p9865	t1204
p7480	t2071
p13359	t100
p8304	t2974
p7499	t11
p3230	t931
p13596	c18
p3048	t19
p11915	t221
p3444	c7
p5600	a1774
p2118	a3916
p6951	t6206
p6536	t1211
p796	t834
p1475	t887
p2443	t4195
p2302	a195
p11573	t7853
p11651	t7882
p4566	a10243
p3351	t515
p6222	t121
p1502	t1352
p2252	t24
p12201	t4315
p3115	a4429
p5572	t315
p14298	t4
p504	c1
p8755	a8709
p4034	t502
p11058	t556
p1231	c1
p11837	a4933
p5997	t78
p50	c1
p6411	t51
p11365	t2164
p9972	t219
p8992	a3823
p13027	t8298
p12699	a6970
p2114	t108
p6885	t597
p13306	t60
p10152	t2611
p4391	a8266
p5171	t747
p4771	t1251
p8579	t714
p6455	t286
p3673	t149
p1358	a1655
p9610	a3943
p8781	t358
p7827	t10
p12749	t859
p5830	t2576
p11861	t106
p8020	t33
p14018	c18
p6771	c10
p1888	t320
p4446	c7
p14319	t4630
p10802	t221
p10421	a10787
p13495	t33
p4797	a301
p6576	t4
p5302	c9
p6630	c10
p5068	a3170
p8597	t873
p13502	t221
p7188	t197
p713	t451
p9925	t33
p6387	a5078
p2203	t535
p11192	t103
p7725	a9960
p10729	t4
p1258	c1
p5223	t5231
p9848	t115
p10895	t106
p13151	t535
p3685	t432
p3554	t1246
p8991	c13
p3439	t330
p6869	t1959
p4309	t1
p9054	t2276
p5148	t106
p7933	t617
p6763	a4713
p9585	t51
p8359	a12493
p12864	t426
p8243	t2215
p12390	t763
p13959	t1752
p10649	t106
p14303	a52
p2320	t432
p6964	a4261
p11114	c16
p7089	t1088
p7997	t33
p1852	a7907
p10252	a5315
p2912	t43
p8288	a2628
p11958	t520
p9695	t3190
p7328	t227
p7428	t772
p7864	t53
p4257	a952
p3320	a8415
p10912	t1
p8286	t49
p8945	t1
p3371	t1
p8329	c11
p2857	t79
p10446	t869
p11749	t1299
p297	t1939
p13823	t426
p12986	c18
p2328	t4196
p12425	a407
p11717	t635
p9654	t1133
p8035	t764
p7920	t842
p10443	a2488
p7108	t342
p9253	t19
p6297	t4
p5866	t60
p9221	t503
p11297	t487
p9883	c16
p6642	t284
p7797	t426
p7288	t33
p4567	t563
p1383	t53
p11695	t19
p1820	a4010
p13812	t1795
p14142	t537
p1627	c2
p12863	a7882
p5269	t338
p898	t4
p6320	t5945
p246	a1618
p4366	t8727
p11827	t90
p1093	t691
p12753	t8059
p9663	t238
p377	t1983
p7936	t417
p4354	a4530
p12520	t212
p1277	t60
p1968	c2
p2945	t1915
p9382	a372
p10310	t1462
p12693	t3579
p8584	t715
p632	c1
p13502	t4
p3722	t520
p13093	t3628
p7709	t835
p1999	t953
p5696	t410
p11007	t78
p1700	t907
p12524	a4336
p10911	t7560
p9325	t5743
p2672	t43
p12787	t92
p11188	t60
p7947	t1
p10975	t402
p3077	t503
p6808	a2597
p10099	a1657
p8327	t629
p6693	a2458
p2668	t313
p9879	t818
p5332	t60
p10939	a13086
p8726	t308
p14244	a9229
p10959	t5292
p4693	t120
p401	c1
p12193	t3900
p13874	t1
p10791	t650
p11131	t43
p4135	a8782
p646	t3060
p12034	a6371
p5115	t3467
p11834	t51
p1515	a1388
p3429	a10998
p4057	t87
p11991	a4567
p10002	a3352
p11441	t1180
p12148	t187
p6578	a2528
p11717	t33
p7951	c11
p13645	t655
p8701	t4
p11932	a8268
p13790	a12529
p9528	t3306
p5096	t1
p13773	a1440
p7422	t1728
p5021	t19
p13221	t508
p10	a945
p8248	t1
p12086	t4456
p13025	t835
p9518	c14
p1559	t113
p1656	t78
p8506	t1996
p5204	c9
p11266	a10105
p3999	t674
p3701	a207
p2446	t53
p10543	t1284
p7269	t4
p13034	a4336
p5643	t355
p10899	t24
p1677	c2
p12828	a14145
p9999	a5423
p9766	t1
p2089	t36
p3201	t2715
p9208	t2284
p3494	t446
p3265	c7
p10353	a1372
p5109	c8
p14075	a1987
p13936	a2248
p5188	t102
p3203	t4105
p11278	a4641
p4131	t19
p4577	a8300
p9809	t327
p4695	t2723
p4739	t211
p9094	a13112
p2187	t535
p13706	t9
p1423	t2719
p9051	t52
p11101	t1111
p11598	t4
p974	t3366
p13258	t5166
p13443	t128
p12266	t661
p1866	a7921
p11112	t60
p8120	t1118
p1138	t182
p4136	t673
p2676	t432
p13528	t53
p6880	t648
p4064	t2307
p4734	t211
p7718	t1136
p1003	t278
p9845	t88
p3668	t196
p6443	t499
p11797	t825
p7084	t6252
p12507	a7018
p4943	c8
p3004	t36
p7097	a12350
p13659	t426
p1858	t529
p6609	a3806
p9180	a4539
p3450	t103
p2160	t100
p7271	c10
p1211	t1665
p1960	t536
p12257	t2420
p9200	t4984
p5687	a5556
p6131	t121
p7859	t441
p12787	t330
p10923	t491
p8769	t6566
p11835	a13871
p2045	a7868
p11177	t2419
p8193	a896
p2943	a3251
p8000	c11
p6759	t592
p13896	t164
p2969	t434
p2199	t1851
p6323	t5133
p3835	c7
p5436	t2408
p4252	t43
p13450	a14272
p7614	a1358
p4948	t53
p11291	t33
p14355	t2146
p5470	a1926
p7148	t319
p10731	t1338
p12559	t4943
p9745	t1
p10813	t221
p9586	t212
p11418	a675
p8675	a11248
p9634	a1657
p10976	t330
p8610	t2733
p14066	t423
p5352	t1300
p10370	t4135
p12426	t19
p388	a1598
p998	a2055
p1593	t956
p11169	t43
p3524	t4638
p2829	t12
p3657	t1457
p3789	t60
p8532	t426
p5635	t43
p8233	c11
p13767	t308
p7346	t291
p6820	a1130
p5963	t106
p10266	c16
p970	t19
p10656	t24
p14179	a7035
p930	t78
p672	t1
p4096	a5838
p557	t60
p9365	t11
p11340	a4779
p10660	t4624
p2987	a6339
p4320	t6084
p3750	t345
p9027	t19
p14313	t88
p4934	a3332
p10622	a7689
p11042	t644
p5015	a538
p13996	t412
p10968	c16
p7552	t282
p2702	t51
p1290	a3363
p10962	t221
p10875	t838
p122	a1320
p2260	t3458
p8831	t426
p11664	a6395
p12733	a6859
p3263	a1842
p8502	t33
p7202	t392
p7615	t221
p4295	t2272
p1198	t19
p10038	t774
p14172	a5772
p546	t821
p10917	t668
p13231	t520
p4756	t596
p8523	a8514
p3546	t5745
p8046	t4
p3409	t311
p6314	a4869
p10601	t1733
p1903	c2
p1517	c1
p5545	t19
p4784	t426
p6255	t12
p2487	t4366
p402	t60
p921	t37
p8513	t97
p11010	t354
p8948	t442
p3256	t368
p13866	c18
p2186	t4136
p4588	t3682
p4567	t8787
p7451	t4
p1954	t432
p7256	t33
p8500	c12
p1886	t33
p4850	c8
p1120	t2377
p2218	t10
p6719	a12276
p13215	a7710
p12334	t1968
p2008	t60
p3970	t49
p4431	t322
p9930	a13280
p9498	t465
p1322	a3411
p4876	t19
p11293	t285
p2689	t19
p12734	t313
p12994	t52
p14194	t1259
p13836	t19
p11020	t788
p1662	a6612
p5143	t2273
p7123	a1476
p2975	t417
p2927	t2202
p180	t387
p8530	t6839
p2794	t144
p13973	t97
p3737	t972
p1452	t1204
p1909	a4824
p9649	t212
p4638	a11499
p1623	c2
p1506	c1
p5572	t521
p9398	a1838
p13845	t43
p6555	t1419
p3179	t3528
p12963	t1947
p11769	t371
p2313	t106
p2985	a7253
p428	t815
p5092	t5203
p2190	t1042
p9621	a11542
p11777	c17
p35	t144
p8464	c12
p12585	t43
p7701	t330
p1402	t128
p507	c1
p3508	t897
p1709	c2
p10206	t1
p10775	t36
p722	a2564
p7773	t6515
p13056	a9387
p8861	t1
p183	t261
p6065	t916
p944	t409
p7052	t395
p893	t2512
p5565	t12
p4812	t19
p757	t699
p5204	a5565
p4693	t520
p9279	a13132
p6378	a3537
p6395	a1104
p3478	t369
p288	t1581
p8044	t735
p2695	t108
p3919	c7
p8062	t261
p1355	t4
p12636	t423
p8487	t1016
p10042	c16
p10787	t733
p8371	t716
p1712	c2
p12548	a6909
p12181	a675
p11221	a8706
p9236	a5633
p3134	a4552
p513	a2176
p4009	t7674
p4706	t483
p12864	a8278
p3933	t607
p8008	t417
p3004	a5795
p13654	t328
p7999	t179
p5511	a5807
p5705	t9
p10476	t11
p10838	t688
p12929	t327
p5851	t5594
p4698	c8
p11957	t4136
p1944	t417
p13089	t60
p4811	t36
p6262	a1760
p11289	t60
p9920	c16
p12868	a7004
p10674	t19
p10370	t115
p629	t323
p14272	t2202
p13306	t252
p11120	a4551
p3506	a11032
p6853	t19
p8638	t103
p10632	t2017
p137	t33
p8137	t738
p6664	t225
p8783	t5097
p637	t1068
p11048	a9885
p5822	t179
p12564	a6377
p12552	t474
p9981	t53
p2404	t1413
p10842	a478
p13977	t756
p9607	a1657
p6038	t4
p9101	c13
p735	t1277
p2650	t3300
p8421	t1727
p13478	t2379
p406	t330
p8352	t539
p6549	t3625
p4524	t835
p5805	t520
p6050	t1179
p9006	t36
p7345	t365
p8315	t284
p9935	t3073
p13311	t3424
p13532	a14289
p5247	t12
p9827	t7265
p5124	t4282
p9063	a6722
p9859	c16
p9512	t238
p7506	a3490
p1588	a831
p5055	t1451
p323	t2523
p4193	t963
p1142	a930
p4849	t36
p4116	t4
p3528	c7
p9152	t106
p4698	a7205
p1429	t2023
p1593	a3346
p12111	t330
p3779	t358
p313	t1337
p11989	a13903
p7794	t103
p712	t60
p5917	t699
p896	t4
p6931	t925
p8543	t842
p10666	t108
p1473	t46
p11491	t1489
p8160	t19
p1816	t601
p4857	t483
p11509	t252
p1651	t701
p2778	a4797
p13459	t763
p10085	t835
p8932	t480
p4919	t483
p397	a1917
p5165	a7234
p4555	t78
p1628	t345
p5202	a5199
p811	t513
p10933	a7680
p3594	t5175
p6626	t1832
p2716	t43
p1109	t2833
p4147	t60
p13972	t19
p2534	a1392
p6610	a173
p1623	t238
p13730	t8490
p10109	c16
p2169	t805
p8154	t108
p13551	t877
p9991	t423
p1560	t514
p13924	a7497
p8288	a12825
p4357	t435
p338	c1
p10403	t224
p6381	t272
p7490	t120
p7886	t426
p8166	t51
p12242	t1
p12729	t118
p10820	t108
p10897	t525
p1149	t33
p12055	a7099
p738	t1306
p1648	t696
p10118	t819
p4815	t458
p11627	t1
p13783	t778
p1100	t966
p13052	a6053
p12408	t483
p3841	t2249
p1187	t566
